  row VAR1  logM   
    1  112 4.718499
    2  118 4.770685
    3  132 4.882802
    4  129 4.859812
    5  121 4.795791
    6  135 4.905275
    7  148 4.997212
    8  148 4.997212
    9  136 4.912655
   10  119 4.779123
   11  104 4.644391
   12  118 4.770685
   13  115 4.744932
   14  126 4.836282
   15  141 4.948760
   16  135 4.905275
   17  125 4.828314
   18  149 5.003946
   19  170 5.135798
   20  170 5.135798
   21  158 5.062595
   22  133 4.890349
   23  114 4.736198
   24  140 4.941642
   25  145 4.976734
   26  150 5.010635
   27  178 5.181784
   28  163 5.093750
   29  172 5.147494
   30  178 5.181784
   31  199 5.293305
   32  199 5.293305
   33  184 5.214936
   34  162 5.087596
   35  146 4.983607
   36  166 5.111988
   37  171 5.141664
   38  180 5.192957
   39  193 5.262690
   40  181 5.198497
   41  183 5.209486
   42  218 5.384495
   43  230 5.438079
   44  242 5.488938
   45  209 5.342334
   46  191 5.252273
   47  172 5.147494
   48  194 5.267858
   49  196 5.278115
   50  196 5.278115
   51  236 5.463832
   52  235 5.459586
   53  229 5.433722
   54  243 5.493061
   55  264 5.575949
   56  272 5.605802
   57  237 5.468060
   58  211 5.351858
   59  180 5.192957
   60  201 5.303305
   61  204 5.318120
   62  188 5.236442
   63  235 5.459586
   64  227 5.424950
   65  234 5.455321
   66  264 5.575949
   67  302 5.710427
   68  293 5.680173
   69  259 5.556828
   70  229 5.433722
   71  203 5.313206
   72  229 5.433722
   73  242 5.488938
   74  233 5.451038
   75  267 5.587249
   76  269 5.594711
   77  270 5.598422
   78  315 5.752573
   79  364 5.897154
   80  347 5.849325
   81  312 5.743003
   82  274 5.613128
   83  237 5.468060
   84  278 5.627621
   85  284 5.648974
   86  277 5.624018
   87  317 5.758902
   88  313 5.746203
   89  318 5.762051
   90  374 5.924256
   91  413 6.023448
   92  405 6.003887
   93  355 5.872118
   94  306 5.723585
   95  271 5.602119
   96  306 5.723585
   97  315 5.752573
   98  301 5.707110
   99  356 5.874931
  100  348 5.852202
  101  355 5.872118
  102  422 6.045005
  103  465 6.142037
  104  467 6.146329
  105  404 6.001415
  106  347 5.849325
  107  305 5.720312
  108  336 5.817111
  109  340 5.828946
  110  318 5.762051
  111  362 5.891644
  112  348 5.852202
  113  363 5.894403
  114  435 6.075346
  115  491 6.196444
  116  505 6.224558
  117  404 6.001415
  118  359 5.883322
  119  310 5.736572
  120  337 5.820083
  121  360 5.886104
  122  342 5.834811
  123  406 6.006353
  124  396 5.981414
  125  420 6.040255
  126  472 6.156979
  127  548 6.306275
  128  559 6.326149
  129  463 6.137727
  130  407 6.008813
  131  362 5.891644
  132  405 6.003887
  133  417 6.033086
  134  391 5.968708
  135  419 6.037871
  136  461 6.133398
  137  472 6.156979
  138  535 6.282267
  139  622 6.432940
  140  606 6.406880
  141  508 6.230481
  142  461 6.133398
  143  390 5.966147
  144  432 6.068426
